// Initial random seed:
5

// RunInitializeCallbacks():
initializeTreeSeq();
initializeMutationRate(0);
initializeMutationType(1, 0.5, "f", 0);
initializeGenomicElementType(1, m1, 1);
initializeGenomicElement(g1, 0, 68937974);
initializeRecombinationRate(c(1e-08, 0.5, 1e-08), c(33759514, 33759515, 68937974));

// Starting run at generation <start>:
1 

Generation: 58712 PopSize: 507400
Generation: 58713 PopSize: 509331
Generation: 58714 PopSize: 511270
Generation: 58715 PopSize: 513217
Generation: 58716 PopSize: 515171
Generation: 58717 PopSize: 517132
Generation: 58718 PopSize: 519101
Generation: 58719 PopSize: 521077
Generation: 58720 PopSize: 523061
Generation: 58721 PopSize: 525053
Generation: 58722 PopSize: 527052
Generation: 58723 PopSize: 529058
Generation: 58724 PopSize: 531073
Generation: 58725 PopSize: 533094
Generation: 58726 PopSize: 535124
Generation: 58727 PopSize: 537161
Generation: 58728 PopSize: 539207
Generation: 58729 PopSize: 541259
Generation: 58730 PopSize: 543320
Generation: 58731 PopSize: 545389
Generation: 58732 PopSize: 547465
Generation: 58733 PopSize: 549549
Generation: 58734 PopSize: 551642
Generation: 58735 PopSize: 553742
Generation: 58736 PopSize: 555850
Generation: 58737 PopSize: 557966
Generation: 58738 PopSize: 560091
Generation: 58739 PopSize: 562223
Generation: 58740 PopSize: 564364
Generation: 58741 PopSize: 566512
Generation: 58742 PopSize: 568669
Generation: 58743 PopSize: 570834
Generation: 58744 PopSize: 573007
Generation: 58745 PopSize: 575189
Generation: 58746 PopSize: 577379
Generation: 58747 PopSize: 579577
Generation: 58748 PopSize: 581784
Generation: 58749 PopSize: 583999
Generation: 58750 PopSize: 586222
Generation: 58751 PopSize: 588454
Generation: 58752 PopSize: 590694
Generation: 58753 PopSize: 592943
Generation: 58754 PopSize: 595201
Generation: 58755 PopSize: 597467
Generation: 58756 PopSize: 599741
Generation: 58757 PopSize: 602025
Generation: 58758 PopSize: 604317
Generation: 58759 PopSize: 606618
Generation: 58760 PopSize: 608927
Generation: 58761 PopSize: 611245
Generation: 58762 PopSize: 613573
Generation: 58763 PopSize: 615909
Generation: 58764 PopSize: 618254
Generation: 58765 PopSize: 620607
Generation: 58766 PopSize: 622970
