58003	10137	0.161389	7114	2774	249	0.3	0.3	0.3	6
58004	10171	0.162128	7129	2786	256	0.3	0.3	0.3	6
58005	10166	0.158076	7201	2716	249	0.3	0.3	0.3	6
58006	34039	0.156614	24270	8876	893	1	1	1	6
58007	34039	0.157731	24152	9036	851	1	1	1	6
58008	34039	0.158847	24119	9026	894	1	1	1	6
58009	34039	0.157746	24190	8959	890	1	1	1	6
58010	34039	0.158979	24097	9061	881	1	1	1	6
58011	34039	0.160507	23946	9259	834	1	1	1	6
58012	34039	0.158715	24130	9013	896	1	1	1	6
58013	34039	0.158612	24059	9162	818	1	1	1	6
58014	34039	0.158715	24081	9111	847	1	1	1	6
58015	34039	0.159361	24079	9071	889	1	1	1	6
58016	34039	0.158436	24098	9096	845	1	1	1	6
58000	34039	0.160434	23992	9172	875	1	1	1	7
58001	34039	0.158509	24092	9103	844	1	1	1	7
58002	10237	0.159324	7227	2758	252	0.3	0.3	0.3	7
58003	10147	0.156992	7208	2692	247	0.3	0.3	0.3	7
58004	10077	0.16101	7074	2761	242	0.3	0.3	0.3	7
58005	10101	0.158301	7138	2728	235	0.3	0.3	0.3	7
58006	34039	0.159934	24015	9160	864	1	1	1	7
58007	34039	0.159523	24025	9168	846	1	1	1	7
58008	34039	0.160243	23979	9211	849	1	1	1	7
58009	34039	0.160816	24012	9106	921	1	1	1	7
58010	34039	0.162211	23902	9231	906	1	1	1	7
58011	34039	0.16036	24009	9143	887	1	1	1	7
58012	34039	0.159875	23989	9216	834	1	1	1	7
58013	34039	0.161726	23962	9144	933	1	1	1	7
58014	34039	0.162608	23855	9298	886	1	1	1	7
58015	34039	0.162813	23871	9252	916	1	1	1	7
58016	34039	0.165075	23723	9394	922	1	1	1	7
58000	34039	0.160434	23992	9172	875	1	1	1	8
58001	34039	0.158656	24124	9029	886	1	1	1	8
58002	10233	0.157432	7262	2720	251	0.3	0.3	0.3	8
58003	10277	0.159969	7255	2756	266	0.3	0.3	0.3	8
58004	9989	0.159576	7061	2668	260	0.3	0.3	0.3	8
58005	10087	0.158223	7161	2660	266	0.3	0.3	0.3	8
58006	34039	0.162049	23906	9234	899	1	1	1	8
58007	34039	0.163122	23839	9295	905	1	1	1	8
58008	34039	0.163592	23791	9359	889	1	1	1	8
58009	34039	0.162475	23840	9337	862	1	1	1	8
58010	34039	0.162652	23881	9243	915	1	1	1	8
58011	34039	0.162564	23900	9211	928	1	1	1	8
58012	34039	0.165531	23686	9437	916	1	1	1	8
58013	34039	0.164752	23664	9534	841	1	1	1	8
58014	34039	0.164723	23760	9344	935	1	1	1	8
58015	34039	0.164884	23748	9357	934	1	1	1	8
58016	34039	0.164708	23747	9371	921	1	1	1	8
58000	34039	0.160434	23992	9172	875	1	1	1	9
58001	34039	0.159347	24080	9070	889	1	1	1	9
58002	10276	0.161298	7229	2779	268	0.3	0.3	0.3	9
58003	10231	0.156876	7280	2692	259	0.3	0.3	0.3	9
58004	9921	0.153362	7127	2545	249	0.3	0.3	0.3	9
