Generation	Ne	Frequency	WT	HET	HOM	Fit(WT)	Fit(HET)	Fit(HOM)	Replicate
58009	34039	0.163048	23848	9282	909	1	1	1	9
58010	34039	0.16224	23904	9225	910	1	1	1	9
58011	34039	0.162299	23877	9275	887	1	1	1	9
58012	34039	0.160551	24011	9126	902	1	1	1	9
58013	34039	0.159699	24034	9138	867	1	1	1	9
58014	34039	0.159229	24082	9074	883	1	1	1	9
58015	34039	0.159552	24041	9134	864	1	1	1	9
58016	34039	0.158686	24125	9025	889	1	1	1	9
58000	34039	0.160434	23992	9172	875	1	1	1	10
58001	34039	0.161858	23920	9219	900	1	1	1	10
58002	17602	0.162567	12331	4819	452	0.520814	0.520814	0.520814	10
58003	17417	0.160246	12247	4758	412	0.516907	0.516907	0.516907	10
58004	17742	0.158353	12554	4757	431	0.522606	0.522606	0.522606	10
58005	18051	0.159077	12788	4783	480	0.528365	0.528365	0.528365	10
58006	34039	0.157819	24163	9008	868	1	1	1	10
58007	34039	0.157878	24145	9040	854	1	1	1	10
58008	34039	0.157936	24145	9036	858	1	1	1	10
58009	34039	0.158127	24144	9025	870	1	1	1	10
58010	34039	0.157731	24108	9124	807	1	1	1	10
58011	34039	0.157907	24106	9116	817	1	1	1	10
58012	34039	0.158436	24088	9116	835	1	1	1	10
58013	34039	0.159582	24007	9200	832	1	1	1	10
58014	34039	0.157907	24140	9048	851	1	1	1	10
58015	34039	0.158186	24134	9041	864	1	1	1	10
58016	34039	0.158627	24129	9021	889	1	1	1	10
