Generation	Ne	Frequency	WT	HET	HOM	Fit(WT)	Fit(HET)	Fit(HOM)	Replicate
58016	34039	0.274641	17880	13621	2538	1	1	1	9
58000	34039	0.160434	23992	9172	875	1	1	1	10
58001	34039	0.159009	24044	9165	830	1	1	1	10
58002	17285	0.179028	11920	4541	824	0.5	0.5	1	10
58003	17567	0.2053	11458	5005	1104	0.5	0.5	1	10
58004	17738	0.236611	10749	5584	1405	0.5	0.5	1	10
58005	18099	0.281065	9905	6214	1980	0.5	0.5	1	10
58006	34039	0.279811	17657	13715	2667	1	1	1	10
58007	34039	0.279018	17691	13701	2647	1	1	1	10
58008	34039	0.276624	17766	13714	2559	1	1	1	10
58009	34039	0.274611	17878	13627	2534	1	1	1	10
58010	34039	0.276022	17870	13547	2622	1	1	1	10
58011	34039	0.274876	17932	13501	2606	1	1	1	10
58012	34039	0.274288	17931	13543	2565	1	1	1	10
58013	34039	0.273436	17994	13475	2570	1	1	1	10
58014	34039	0.274141	17920	13575	2544	1	1	1	10
58015	34039	0.272775	17968	13572	2499	1	1	1	10
58016	34039	0.272026	18073	13413	2553	1	1	1	10
58000	34039	0.160434	23992	9172	875	1	1	1	11
58001	34039	0.159332	24046	9139	854	1	1	1	11
58002	17374	0.17932	11983	4551	840	0.5	0.5	1	11
58003	17528	0.208923	11355	5022	1151	0.5	0.5	1	11
58004	17716	0.241985	10655	5548	1513	0.5	0.5	1	11
58005	17975	0.281697	9809	6205	1961	0.5	0.5	1	11
58006	34039	0.280487	17657	13669	2713	1	1	1	11
58007	34039	0.282617	17509	13820	2710	1	1	1	11
58008	34039	0.28341	17481	13822	2736	1	1	1	11
58009	34039	0.284115	17514	13708	2817	1	1	1	11
58010	34039	0.28626	17306	13978	2755	1	1	1	11
58011	34039	0.285643	17399	13834	2806	1	1	1	11
58012	34039	0.288742	17206	14009	2824	1	1	1	11
58013	34039	0.289389	17233	13911	2895	1	1	1	11
58014	34039	0.289051	17195	14010	2834	1	1	1	11
58015	34039	0.287508	17309	13887	2843	1	1	1	11
58016	34039	0.287553	17237	14028	2774	1	1	1	11
58000	34039	0.160434	23992	9172	875	1	1	1	12
58001	34039	0.161051	23953	9208	878	1	1	1	12
58002	17389	0.184111	11889	4597	903	0.5	0.5	1	12
58003	17456	0.210873	11270	5010	1176	0.5	0.5	1	12
58004	17759	0.243651	10652	5560	1547	0.5	0.5	1	12
58005	17895	0.285415	9679	6217	1999	0.5	0.5	1	12
58006	34039	0.284953	17440	13799	2800	1	1	1	12
58007	34039	0.284101	17468	13801	2770	1	1	1	12
58008	34039	0.287685	17304	13885	2850	1	1	1	12
58009	34039	0.286245	17320	13951	2768	1	1	1	12
58010	34039	0.282441	17549	13752	2738	1	1	1	12
58011	34039	0.281692	17570	13761	2708	1	1	1	12
58012	34039	0.281177	17599	13738	2702	1	1	1	12
58013	34039	0.277887	17763	13634	2642	1	1	1	12
58014	34039	0.27871	17690	13724	2625	1	1	1	12
58015	34039	0.27915	17682	13710	2647	1	1	1	12
58016	34039	0.277799	17712	13742	2585	1	1	1	12
58000	34039	0.160434	23992	9172	875	1	1	1	13
58001	34039	0.1587	24081	9112	846	1	1	1	13
58002	17550	0.182422	12045	4607	898	0.5	0.5	1	13
58003	17611	0.209386	11406	5035	1170	0.5	0.5	1	13
58004	17705	0.241711	10619	5613	1473	0.5	0.5	1	13
58005	17983	0.287104	9731	6178	2074	0.5	0.5	1	13
58006	34039	0.285379	17429	13792	2818	1	1	1	13
58007	34039	0.282984	17492	13829	2718	1	1	1	13
58008	34039	0.283484	17354	14071	2614	1	1	1	13
58009	34039	0.281618	17626	13654	2759	1	1	1	13
58010	34039	0.281971	17541	13800	2698	1	1	1	13
58011	34039	0.283939	17453	13842	2744	1	1	1	13
58012	34039	0.280502	17658	13666	2715	1	1	1	13
58013	34039	0.282911	17498	13822	2719	1	1	1	13
58014	34039	0.281515	17603	13707	2729	1	1	1	13
58015	34039	0.280693	17529	13911	2599	1	1	1	13
58016	34039	0.281809	17577	13739	2723	1	1	1	13
58000	34039	0.160434	23992	9172	875	1	1	1	14
58001	34039	0.16011	24026	9126	887	1	1	1	14
58002	17482	0.183703	11941	4659	882	0.5	0.5	1	14
58003	17837	0.208836	11564	5096	1177	0.5	0.5	1	14
58004	17528	0.240872	10549	5514	1465	0.5	0.5	1	14
58005	18088	0.282839	9831	6282	1975	0.5	0.5	1	14
58006	34039	0.282617	17537	13764	2738	1	1	1	14
58007	34039	0.283425	17480	13823	2736	1	1	1	14
58008	34039	0.283131	17516	13771	2752	1	1	1	14
58009	34039	0.285011	17432	13811	2796	1	1	1	14
58010	34039	0.286833	17359	13833	2847	1	1	1	14
58011	34039	0.281339	17594	13737	2708	1	1	1	14
58012	34039	0.279532	17626	13796	2617	1	1	1	14
58013	34039	0.280223	17630	13741	2668	1	1	1	14
58014	34039	0.281148	17642	13654	2743	1	1	1	14
58015	34039	0.281104	17555	13831	2653	1	1	1	14
58016	34039	0.283631	17476	13817	2746	1	1	1	14
58000	34039	0.160434	23992	9172	875	1	1	1	15
58001	34039	0.161932	23947	9160	932	1	1	1	15
58002	17462	0.183141	11967	4594	901	0.5	0.5	1	15
58003	17704	0.212692	11348	5181	1175	0.5	0.5	1	15
58004	17587	0.244641	10481	5607	1499	0.5	0.5	1	15
58005	18105	0.29108	9652	6366	2087	0.5	0.5	1	15
58006	34039	0.292371	17049	14076	2914	1	1	1	15
58007	34039	0.293267	17007	14099	2933	1	1	1	15
58008	34039	0.290432	17044	14218	2777	1	1	1	15
58009	34039	0.290505	17137	14027	2875	1	1	1	15
58010	34039	0.287641	17268	13960	2811	1	1	1	15
58011	34039	0.287053	17271	13994	2774	1	1	1	15
58012	34039	0.286818	17304	13944	2791	1	1	1	15
58013	34039	0.285981	17395	13819	2825	1	1	1	15
58014	34039	0.285099	17346	13977	2716	1	1	1	15
58015	34039	0.283704	17524	13716	2799	1	1	1	15
58016	34039	0.285805	17365	13891	2783	1	1	1	15
58000	34039	0.160434	23992	9172	875	1	1	1	16
58001	34039	0.160155	23999	9177	863	1	1	1	16
58002	17539	0.18188	12011	4676	852	0.5	0.5	1	16
58003	17643	0.207731	11440	5076	1127	0.5	0.5	1	16
58004	17854	0.239694	10776	5597	1481	0.5	0.5	1	16
58005	18001	0.27854	9894	6186	1921	0.5	0.5	1	16
58006	34039	0.278622	17654	13802	2583	1	1	1	16
58007	34039	0.278768	17662	13776	2601	1	1	1	16
58008	34039	0.281133	17546	13847	2646	1	1	1	16
58009	34039	0.282455	17543	13763	2733	1	1	1	16
58010	34039	0.282529	17508	13828	2703	1	1	1	16
58011	34039	0.281794	17610	13674	2755	1	1	1	16
58012	34039	0.282617	17561	13716	2762	1	1	1	16
58013	34039	0.280546	17558	13863	2618	1	1	1	16
58014	34039	0.279797	17684	13662	2693	1	1	1	16
58015	34039	0.281398	17554	13813	2672	1	1	1	16
58016	34039	0.282632	17488	13861	2690	1	1	1	16
58000	34039	0.160434	23992	9172	875	1	1	1	17
58001	34039	0.159361	24070	9089	880	1	1	1	17
58002	17480	0.178862	12070	4567	843	0.5	0.5	1	17
58003	17460	0.206357	11294	5126	1040	0.5	0.5	1	17
58004	17841	0.238243	10781	5619	1441	0.5	0.5	1	17
58005	18161	0.281207	9949	6210	2002	0.5	0.5	1	17
58006	34039	0.280105	17640	13729	2670	1	1	1	17
58007	34039	0.28178	17611	13673	2755	1	1	1	17
58008	34039	0.280619	17621	13732	2686	1	1	1	17
58009	34039	0.282206	17544	13778	2717	1	1	1	17
58010	34039	0.280825	17661	13638	2740	1	1	1	17
58011	34039	0.28037	17705	13581	2753	1	1	1	17
58012	34039	0.279474	17645	13762	2632	1	1	1	17
58013	34039	0.280384	17644	13702	2693	1	1	1	17
58014	34039	0.280355	17669	13654	2716	1	1	1	17
58015	34039	0.280135	17644	13719	2676	1	1	1	17
58016	34039	0.27727	17785	13632	2622	1	1	1	17
58000	34039	0.160434	23992	9172	875	1	1	1	18
58001	34039	0.158906	24067	9126	846	1	1	1	18
58002	17438	0.177687	12069	4541	828	0.5	0.5	1	18
58003	17553	0.198485	11637	4864	1052	0.5	0.5	1	18
58004	17652	0.232891	10774	5534	1344	0.5	0.5	1	18
58005	18063	0.272823	10114	6042	1907	0.5	0.5	1	18
58006	34039	0.274788	17843	13685	2511	1	1	1	18
58007	34039	0.273627	18004	13442	2593	1	1	1	18
58008	34039	0.275508	17892	13538	2609	1	1	1	18
58009	34039	0.273701	17936	13573	2530	1	1	1	18
58010	34039	0.275317	17939	13457	2643	1	1	1	18
58011	34039	0.277402	17765	13663	2611	1	1	1	18
58012	34039	0.277902	17784	13591	2664	1	1	1	18
58013	34039	0.280957	17621	13709	2709	1	1	1	18
58014	34039	0.279312	17637	13789	2613	1	1	1	18
58015	34039	0.279503	17610	13830	2599	1	1	1	18
58016	34039	0.280502	17632	13718	2689	1	1	1	18
58000	34039	0.160434	23992	9172	875	1	1	1	19
58001	34039	0.157511	24207	8941	891	1	1	1	19
58002	17501	0.17779	12120	4539	842	0.5	0.5	1	19
58003	17614	0.203645	11551	4952	1111	0.5	0.5	1	19
58004	17758	0.235866	10794	5551	1413	0.5	0.5	1	19
58005	18048	0.274767	10050	6078	1920	0.5	0.5	1	19
58006	34039	0.273554	17978	13499	2562	1	1	1	19
58007	34039	0.272423	18025	13482	2532	1	1	1	19
58008	34039	0.273436	17974	13515	2550	1	1	1	19
58009	34039	0.274024	17941	13541	2557	1	1	1	19
58010	34039	0.274964	17866	13627	2546	1	1	1	19
58011	34039	0.271189	18027	13562	2450	1	1	1	19
58012	34039	0.270851	18096	13447	2496	1	1	1	19
58013	34039	0.269279	18193	13360	2486	1	1	1	19
58014	34039	0.269353	18242	13257	2540	1	1	1	19
58015	34039	0.26972	18171	13374	2494	1	1	1	19
58016	34039	0.269162	18131	13492	2416	1	1	1	19
58000	34039	0.160434	23992	9172	875	1	1	1	20
58001	34039	0.158862	24090	9083	866	1	1	1	20
58002	17602	0.17961	12196	4489	917	0.5	0.5	1	20
58003	17548	0.205123	11437	5023	1088	0.5	0.5	1	20
58004	17743	0.238601	10706	5607	1430	0.5	0.5	1	20
58005	17972	0.282578	9810	6167	1995	0.5	0.5	1	20
58006	34039	0.282147	17557	13756	2726	1	1	1	20
58007	34039	0.283572	17486	13801	2752	1	1	1	20
58008	34039	0.282294	17491	13878	2670	1	1	1	20
58009	34039	0.282676	17482	13870	2687	1	1	1	20
58010	34039	0.284159	17458	13817	2764	1	1	1	20
58011	34039	0.288081	17228	14010	2801	1	1	1	20
58012	34039	0.288625	17249	13931	2859	1	1	1	20
58013	34039	0.286201	17400	13794	2845	1	1	1	20
58014	34039	0.283484	17452	13875	2712	1	1	1	20
58015	34039	0.284057	17410	13920	2709	1	1	1	20
58016	34039	0.284556	17439	13828	2772	1	1	1	20
58000	34039	0.160434	23992	9172	875	1	1	1	21
58001	34039	0.160125	23997	9183	859	1	1	1	21
58002	17345	0.180946	11958	4497	890	0.5	0.5	1	21
58003	17728	0.207468	11527	5046	1155	0.5	0.5	1	21
58004	17752	0.237354	10792	5493	1467	0.5	0.5	1	21
58005	17823	0.276637	9838	6109	1876	0.5	0.5	1	21
58006	34039	0.275757	17862	13581	2596	1	1	1	21
58007	34039	0.27517	17895	13555	2589	1	1	1	21
58008	34039	0.274479	17902	13588	2549	1	1	1	21
58009	34039	0.274626	17907	13568	2564	1	1	1	21
58010	34039	0.275037	17904	13546	2589	1	1	1	21
58011	34039	0.272085	18000	13555	2484	1	1	1	21
58012	34039	0.271806	18056	13462	2521	1	1	1	21
58013	34039	0.271013	18129	13370	2540	1	1	1	21
