Generation	Ne	Frequency	Replicate
58015	34039	0.157775	18
58016	34039	0.157687	18
58000	34039	0.160434	19
58001	34039	0.161109	19
58002	9794	0.160506	19
58003	26873	0.159789	19
58004	30655	0.159061	19
58005	32087	0.157447	19
58006	34039	0.158994	19
58007	34039	0.159582	19
58008	34039	0.160434	19
58009	34039	0.159229	19
58010	34039	0.159156	19
58011	34039	0.159214	19
58012	34039	0.159244	19
58013	34039	0.15873	19
58014	34039	0.157275	19
58015	34039	0.156512	19
58016	34039	0.157907	19
58000	34039	0.160434	20
58001	34039	0.159347	20
58002	9784	0.162204	20
58003	26664	0.156353	20
58004	30685	0.15677	20
58005	31943	0.155339	20
58006	34039	0.153016	20
58007	34039	0.154852	20
58008	34039	0.154734	20
58009	34039	0.155395	20
58010	34039	0.156233	20
58011	34039	0.154529	20
58012	34039	0.154352	20
58013	34039	0.152252	20
58014	34039	0.152942	20
58015	34039	0.153427	20
58016	34039	0.150621	20
58000	34039	0.160434	21
58001	34039	0.160257	21
58002	9776	0.160904	21
58003	26927	0.163163	21
58004	30734	0.164671	21
58005	31999	0.167083	21
58006	34039	0.166074	21
58007	34039	0.169262	21
58008	34039	0.169702	21
58009	34039	0.169365	21
58010	34039	0.170819	21
58011	34039	0.171641	21
58012	34039	0.176048	21
58013	34039	0.176327	21
58014	34039	0.176709	21
58015	34039	0.173287	21
58016	34039	0.17217	21
58000	34039	0.160434	22
58001	34039	0.158774	22
58002	9774	0.160426	22
58003	26804	0.162177	22
58004	30703	0.161841	22
58005	32013	0.159779	22
58006	34039	0.16224	22
58007	34039	0.160551	22
58008	34039	0.15823	22
58009	34039	0.159684	22
58010	34039	0.159626	22
58011	34039	0.159494	22
58012	34039	0.158627	22
58013	34039	0.158524	22
58014	34039	0.157231	22
58015	34039	0.156761	22
58016	34039	0.154161	22
58000	34039	0.160434	23
58001	34039	0.164003	23
58002	9865	0.167562	23
58003	27003	0.167481	23
58004	30652	0.16733	23
58005	32012	0.167187	23
58006	34039	0.1639	23
58007	34039	0.164077	23
58008	34039	0.16346	23
58009	34039	0.163269	23
58010	34039	0.163415	23
58011	34039	0.162431	23
58012	34039	0.162475	23
58013	34039	0.163327	23
58014	34039	0.163327	23
58015	34039	0.163151	23
58016	34039	0.162637	23
58000	34039	0.160434	24
58001	34039	0.159053	24
58002	9766	0.161376	24
58003	26868	0.162777	24
58004	30655	0.161605	24
58005	32006	0.160939	24
58006	34039	0.159068	24
58007	34039	0.157334	24
58008	34039	0.156629	24
58009	34039	0.156996	24
58010	34039	0.157966	24
58011	34039	0.158583	24
58012	34039	0.158509	24
58013	34039	0.157422	24
58014	34039	0.160169	24
58015	34039	0.160345	24
58016	34039	0.159273	24
58000	34039	0.160434	25
58001	34039	0.160301	25
58002	9856	0.160562	25
58003	26912	0.162623	25
58004	30773	0.162675	25
58005	31988	0.16042	25
58006	34039	0.160037	25
58007	34039	0.161227	25
58008	34039	0.159875	25
58009	34039	0.160625	25
58010	34039	0.158788	25
58011	34039	0.15801	25
58012	34039	0.157951	25
58013	34039	0.158274	25
58014	34039	0.160669	25
58015	34039	0.159714	25
58016	34039	0.161814	25
58000	34039	0.160434	26
58001	34039	0.157922	26
58002	9894	0.154841	26
58003	26870	0.155992	26
58004	30587	0.15688	26
58005	32051	0.157499	26
58006	34039	0.156703	26
58007	34039	0.157408	26
58008	34039	0.155454	26
58009	34039	0.156908	26
58010	34039	0.156086	26
58011	34039	0.156027	26
58012	34039	0.153163	26
58013	34039	0.154176	26
58014	34039	0.152634	26
58015	34039	0.153309	26
58016	34039	0.154837	26
58000	34039	0.160434	27
58001	34039	0.16083	27
58002	9916	0.163977	27
58003	26798	0.164956	27
58004	30676	0.162326	27
58005	31947	0.161924	27
58006	34039	0.161315	27
58007	34039	0.162857	27
58008	34039	0.161095	27
58009	34039	0.159317	27
58010	34039	0.162079	27
58011	34039	0.16368	27
58012	34039	0.162534	27
58013	34039	0.164693	27
58014	34039	0.166765	27
58015	34039	0.169218	27
58016	34039	0.166662	27
58000	34039	0.160434	28
58001	34039	0.16227	28
